Torpedo ticker,Our Ticker,URL to exAdmin,Name,Coinmarketcap id,Long text
PASS,PASS,https://admin.santiment.net/admin/projects/235462,Blockpass,blockpass,"Blockpass offers shared regulatory compliance services. As an identity system that supports verification, Blockpass will enable the development of new applications that rely on a trusted connection between multiple entities"
BOX,BOX,https://admin.santiment.net/admin/projects/234941,ContentBox,contentbox,"ContentBox is a public blockchain project for the content industry with a focus on the audio/visual realm. It provides users with access to various content in multiple languages, and includes features like curated podcast recommendations."
ETP,ETP,https://admin.santiment.net/admin/projects/234511,Metaverse ETP,metaverse,"Designed to facilitate low-cost, convenient transfer of digitized personal data and assets, Metaverse aims to revolutionize the way financial services and transactions are processed, and to improve outdated and inefficient identity verification services"
POA,POA,https://admin.santiment.net/admin/projects/101882,POA Network,poa-network,"POA Network is an open Ethereum sidechain with Proof of Authority consensus, reached by independent validators. The project is building a public network for smart contracts that combines speed, security, and cost efficiency."
BBN,BBN,https://admin.santiment.net/admin/projects/235465,Banyan Network,banyan-network,Banyan Network is a fusion of big data network based on blockchain technology called Data Fusion Value Chain Network. It is also the world’s first distributed ecosystem of data economies raised and built by all participants in the field of data analytics
DTA,DTA,https://admin.santiment.net/admin/projects/177985,DATA,data,Data is a blockchain-based advertising protocol initiated by the Blockchain Data Foundation. The Data team aims to mitigate the ad fraud seen on actual advertising systems. DTA token is used as the medium of exchange within the platform.
SEE,SEER,https://admin.santiment.net/admin/projects/234922,SEER,seer,Decentralized prediction market built on the Graphene toolkit. It allows users to express their judgments about future events by means of the market mechanism and makes effective predictions by gathering intelligence and ideas.
GUSD,GUSD,https://admin.santiment.net/admin/projects/235253,Gemini Dollar,gemini-dollar,"The Gemini dollar is a cryptographic token that is issued by a New York trust company, pegged 1:1 to the U.S. dollar and built on the Ethereum network."
RCN,RCN,https://admin.santiment.net/admin/projects/1030,Ripio Credit Network,ripio-credit-network,"A protocol based on smart contracts and blockchain technology that brings enhanced transparency and reliability in credit and lending. Enables connections between lenders and borrowers located anywhere in the world, regardless of currency. "
HOT,HOT,https://admin.santiment.net/admin/projects/234676,Hydro Protocol,hydro-protocol,Hydro is a network layer protocol for high-performance decentralized exchanges and marketplaces with built-in incentives for coordination. It defines the rules for executing decentralized orders and provides the mechanism for order matching.
RIF,RIF,https://admin.santiment.net/admin/projects/235385,RIF Token,rif-token,"RIF OS (Root Infrastructure Framework Open Standard)  is a suite of open and decentralized infrastructure protocols that enable faster, easier and scalable development of distributed applications (dApps) within a unified environment."
CLO,CLO,https://admin.santiment.net/admin/projects/234820,Callisto Network,callisto-network,"Callisto Network is a blockchain platform with its own cryptocurrency (CLO) that’s based on the Ethereum protocol, so any Callisto improvements can be applied to Ethereum Classic. Callisto is not a testnet or a hardfork of Ethereum Classic."
ESS,ESS,https://admin.santiment.net/admin/projects/234899,Essentia,essentia,"Essentia is a trustless, modular framework allowing users to operate with their digital decentralized identities and data, by creating their operating system with on-chain capabilities that can be accessible from all devices in the world."
QASH,QASH,https://admin.santiment.net/admin/projects/234325,QASH,qash,"A single globally-sourced trading platform with an associated suite of services. Combined, these produce the highest level of liquidity in the world—allowing any individual to access the opportunities and wealth the new Crypto economy offers."
MTO,MEETONE,https://admin.santiment.net/admin/projects/235470,MEET.ONE,meetone,"MEET.ONE is running a side EOS chain which provides a cost-effective developing platform for the developer to make a test and beta version of their Dapps, at the same time, filter and incubate high-quality projects into the parent block-chain"
ABYSS,ABYSS,https://admin.santiment.net/admin/projects/234796,The Abyss,the-abyss,"The Abyss is a next-gen digital distribution platform, delivering all types of video games (namely F2P MMOs and crypto-games), including AAA-titles, to the fast-growing global game community."
CNN,CNN,https://admin.santiment.net/admin/projects/234803,Content Neutrality Network,content-neutrality-network,"Content Neutrality Network aims to break the barrier between content communities, revolutionize revenue share and decentralize user acquisition & incentive programs, in order to create a more open, efficient and trustworthy content era."
INT,INT,https://admin.santiment.net/admin/projects/234518,Internet Node Token,internet-node-token,"INT is the world's first blockbuster technology from the perspective of the structural evolution of the Internet of Things, bottom-up to create a new generation of IoT system. Provides a reliable data source for all kinds of IoT applications"
AVT,AVT,https://admin.santiment.net/admin/projects/336,Aventus,aventus,An open-source protocol that aims to deliver the global standard for ticketing. The protocol permits rights holders to define rules across the ticketing supply-chain (including promoters and venues’ primary/secondary agents) to which everyone must adhere.
DADI,DADI,https://admin.santiment.net/admin/projects/102128,DADI,dadi,"DADI is a global, decentralized cloud services platform, offering compute power, database storage, content delivery and other functionalities. Unlike existing centralized cloud services, DADI implements a fog computing structure."
WLO,WLO,https://admin.santiment.net/admin/projects/235463,WOLLO,wollo,"Pigzbe is an easy way to engage with your children’s financial education. Get notified of new allowances, tasks and rewards, and unlock new knowledge to learn as you earn. Pigzbe runs on Wollo"
AUC,AUC,https://admin.santiment.net/admin/projects/101851,Auctus,auctus,"Auctus is a smart contract-powered retirement planning platform, which allows users to create diversified portfolios made up of traditional asset classes and cryptocurrencies. Auctus aims to bring together retirement savers from around the world."
PNK,PNK,https://admin.santiment.net/admin/projects/234837,Kleros,kleros,"Kleros is a blockchain Dispute Resolution Layer that provides fast, secure and affordable arbitration for virtually anything. The PNK token is meant to allow jurors to guarantee their involvement in dispute resolution and incentivize coherent jurors"
